MiBig	Biosin_class	Gen	Adenilation	Condencetion
BGC0001000	['NRP', 'Polyketide']	AAY42393.1	NaN	['Starter']
BGC0001000	['NRP', 'Polyketide']	AAY42397.1	[{'epimerized': False, 'evidence': ['Activity assay'], 'nonproteinogenic': ['2-oxo-isovaleric acid']}, {'epimerized': False, 'evidence': ['Activity assay'], 'proteinogenic': ['Cysteine']}]	NaN
BGC0001000	['NRP', 'Polyketide']	AAY42398.1	[{'epimerized': False, 'evidence': ['Activity assay'], 'nonproteinogenic': ['2-oxo-isovaleric acid']}, {'epimerized': False, 'evidence': ['Activity assay'], 'proteinogenic': ['Cysteine']}]	NaN
BGC0001846	['Saccharide', 'NRP']	RLV71193.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['2-Hydroxyisovalerate']}, {'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Valine']}]	['DCL']
BGC0001846	['Saccharide', 'NRP']	RLV71192.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['Lactic acid']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Valine']}]	NaN
BGC0001112	['NRP', 'Polyketide']	rhiA, CAL69888.1	NaN	['Unknown']
BGC0001112	['NRP', 'Polyketide']	rhiB, CAL69889.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Serine']}]	NaN
BGC0000996	['NRP', 'Polyketide']	EFL02193.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['Ornithine']}]	NaN
BGC0000345	['NRP', 'Polyketide']	AHB38511.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Leucine']}]	NaN
BGC0000345	['NRP', 'Polyketide']	AHB38515.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Serine']}, {'epimerized': False, 'proteinogenic': ['Leucine']}]	NaN
BGC0001016	['NRP', 'Polyketide']	AAO62588.1	[{'epimerized': False, 'nonproteinogenic': ['Arginine']}]	NaN
BGC0001016	['NRP', 'Polyketide']	AAO62587.1	[{'epimerized': False, 'nonproteinogenic': ['Leucine / Arginine']}, {'epimerized': False, 'nonproteinogenic': ['Aspartate / N-methylaspartate']}]	NaN
BGC0001016	['NRP', 'Polyketide']	AAO62586.1	[{'epimerized': False, 'nonproteinogenic': ['Serine']}, {'epimerized': True, 'nonproteinogenic': ['Alanine']}]	NaN
BGC0001016	['NRP', 'Polyketide']	AAO62585.1	[{'epimerized': False, 'nonproteinogenic': ['Hydrocinnamate']}]	NaN
BGC0001016	['NRP', 'Polyketide']	AAO62582.1	[{'epimerized': False, 'nonproteinogenic': ['Glutamine']}]	['LCL']
BGC0001153	['NRP']	AEZ51520.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['2,4-Diaminobutyric acid']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Threonine']}, {'epimerized': True, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['L-2,4-Diaminobutyric acid']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['L-2,4-Diaminobutyric acid']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['L-2,4-Diaminobutyric acid']}]	['LCL']
BGC0001153	['NRP']	AEZ51516.1	[{'epimerized': True, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Phenylalanine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Leucine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['L-2,4-Diaminobutyric acid']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['L-2,4-Diaminobutyric acid']}]	['LCL']
BGC0001153	['NRP']	AEZ51517.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Threonine']}]	NaN
BGC0000369	['NRP', 'Saccharide']	AHZ20766.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['Dihydroxy hexadecanoic acid']}]	NaN
BGC0000369	['NRP', 'Saccharide']	AHZ20773.1	[{'epimerized': True, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['Threonine']}, {'epimerized': True, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['Tyrosine']}]	NaN
BGC0000369	['NRP', 'Saccharide']	AHZ20774.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['Threonine']}, {'epimerized': True, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['Glutamine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['Glycine']}]	NaN
BGC0000369	['NRP', 'Saccharide']	AHZ20781.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['Threonine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['Threonine']}]	NaN
BGC0000369	['NRP', 'Saccharide']	AHZ20784.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['N-methyl-threonine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['Glutamine / Tyrosine']}]	NaN
BGC0000386	['NRP']	ABC36450	[{'epimerized': False, 'nonproteinogenic': ['N5-Hydroxyornithine']}, {'epimerized': True, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Aspartate']}, {'epimerized': False, 'proteinogenic': ['Serine']}]	NaN
BGC0000386	['NRP']	ABC37099	[{'epimerized': False, 'nonproteinogenic': ['N5-hydroxy-N5-formylornitine']}]	['LCL']
BGC0000447	['NRP']	CCJ67636.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Threonine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Proline']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Serine']}]	NaN
BGC0000447	['NRP']	CCJ67637.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Leucine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Valine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Serine']}]	NaN
BGC0000447	['NRP']	CCJ67638.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Leucine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Valine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Valine']}]	NaN
BGC0000447	['NRP']	CCJ67639.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Glutamine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Leucine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Valine']}]	NaN
BGC0000447	['NRP']	CCJ67640.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Threonine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Threonine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Leucine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['Homoserine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['2,4-Diaminobutyric acid']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Lysine']}]	NaN
BGC0000955	['NRP', 'Polyketide']	CCA29202.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Glycine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Cysteine']}]	NaN
BGC0000955	['NRP', 'Polyketide']	CCA29203.1	[{'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Serine']}, {'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Cysteine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Glycine']}]	NaN
BGC0001149	['NRP', 'Saccharide']	CDF96614.1	[{'epimerized': False, 'evidence': ['Activity assay'], 'proteinogenic': ['Serine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Proline']}]	NaN
BGC0000975	['NRP', 'Polyketide']	ABM21571.1	[{'epimerized': True, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['tyrosine']}]	NaN
BGC0000975	['NRP', 'Polyketide']	ABM21572.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['methyl beta-alanine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['alpha-ketoisocaproic acid']}]	NaN
BGC0000426	['NRP']	AGZ03650.1	[{'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Phenylalanine']}]	NaN
BGC0000426	['NRP']	AGZ03651.1	[{'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Alanine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Tryptophan']}]	NaN
BGC0000430	['NRP', 'Polyketide']	AHJ31215.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['Homotyrosine']}, {'epimerized': False, 'evidence': ['Activity assay'], 'nonproteinogenic': ['Proline']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'nonproteinogenic': ['Argininal']}]	NaN
BGC0000963	['NRP', 'Polyketide', 'Saccharide']	AAG02355.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Histidine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['Asparigine']}]	NaN
BGC0000963	['NRP', 'Polyketide', 'Saccharide']	AAG02356.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Alanine']}]	NaN
BGC0000963	['NRP', 'Polyketide', 'Saccharide']	AAG02358.1	[{'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Threonine']}]	NaN
BGC0000963	['NRP', 'Polyketide', 'Saccharide']	AAG02359.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['Asparigine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Serine']}]	['Starter']
BGC0000963	['NRP', 'Polyketide', 'Saccharide']	AAG02360.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['Asparigine']}]	NaN
BGC0000963	['NRP', 'Polyketide', 'Saccharide']	AAG02364.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Cysteine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Cysteine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'nonproteinogenic': ['Beta-alanine']}]	NaN
BGC0001431	['NRP', 'Polyketide']	APZ78845.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Threonine']}, {'epimerized': True, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Leucine']}]	NaN
BGC0001431	['NRP', 'Polyketide']	APZ78846.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Alanine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Alanine']}, {'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Glutamine']}]	['LCL']
BGC0000298	['NRP']	ACM68682.1	NaN	NaN
BGC0000298	['NRP']	ACM68684.1	[{'epimerized': True, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Isoleucine']}]	NaN
BGC0000298	['NRP']	ACM68690.1	[{'aa_subcluster': ['ACM68685.1', 'ACM68686.1', 'ACM68687.1', 'ACM68688.1'], 'epimerized': False, 'nonproteinogenic': ['2-carboxy-6-hydroxyoctahydroindole']}]	NaN
BGC0000298	['NRP']	ACM68691.1	NaN	['LCL']
BGC0000959	['NRP', 'Polyketide']	ANIA_08412	[{'epimerized': False, 'evidence': ['Activity assay'], 'nonproteinogenic': ['L-4-fluorophenylalanine'], 'proteinogenic': ['Tyrosine', 'Phenylalanine', 'Tryptophan']}]	NaN
BGC0001132	['NRP']	XNC1_2022	[{'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Valine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Leucine']}, {'epimerized': True, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Valine']}, {'epimerized': False, 'evidence': ['Structure-based inference'], 'proteinogenic': ['Valine']}]	NaN
BGC0001427	['NRP', 'Polyketide']	APZ78794.1	[{'epimerized': False, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Threonine']}, {'epimerized': True, 'evidence': ['Sequence-based prediction'], 'proteinogenic': ['Alanine']}]	NaN
